2025-04-22 16:07:00 - INFO - [INFO] rank1 training examples: [1, 5, 9, 13] ... [319985, 319989, 319993, 319997]| example_nums:80000 | training_steps:20000

... [319984, 319988, 319992, 319996]| example_nums:80000 | training_steps:20000
2025-04-22 16:07:03 - INFO - Total parameters: 2485473280
2025-04-22 16:07:03 - INFO - Trainable parameters: 13844480
2025-04-22 16:07:03 - INFO - Embedding parameters: 525336576
2025-04-22 16:07:03 - INFO - non-Embedding parameters: 1960136704
2025-04-22 16:07:03 - INFO - Embedding parameters percentage: 21.14%
2025-04-22 16:07:03 - INFO - Trainable parameters percentage: 0.56%
2025-04-22 16:08:49 - INFO - {'run_time(hours)': 0.02913433074951172, 'total_steps': 20000, 'steps': 100.0, 'training_loss': {'ae_loss': 1.3359375, 'lm_loss': 2.359375}, 'learning_rate': 3.322333333333335e-05}
2025-04-22 16:10:42 - INFO - {'run_time(hours)': 0.060472175147798325, 'total_steps': 20000, 'steps': 200.0, 'training_loss': {'ae_loss': 0.4765625, 'lm_loss': 3.046875}, 'learning_rate': 6.644555555555568e-05}
2025-04-22 16:12:40 - INFO - {'run_time(hours)': 0.09336755812168121, 'total_steps': 20000, 'steps': 300.0, 'training_loss': {'ae_loss': 0.2060546875, 'lm_loss': 3.078125}, 'learning_rate': 9.966777777777791e-05}
2025-04-22 16:14:37 - INFO - {'run_time(hours)': 0.12587509486410353, 'total_steps': 20000, 'steps': 400.0, 'training_loss': {'ae_loss': 0.20703125, 'lm_loss': 3.09375}, 'learning_rate': 0.0001}
2025-04-22 16:16:44 - INFO - {'run_time(hours)': 0.16098608314990998, 'total_steps': 20000, 'steps': 500.0, 'training_loss': {'ae_loss': 0.1611328125, 'lm_loss': 3.125}, 'learning_rate': 0.0001}
2025-04-22 16:18:42 - INFO - {'run_time(hours)': 0.19378208471669092, 'total_steps': 20000, 'steps': 600.0, 'training_loss': {'ae_loss': 0.1494140625, 'lm_loss': 2.203125}, 'learning_rate': 0.0001}
2025-04-22 16:20:40 - INFO - {'run_time(hours)': 0.22657858729362487, 'total_steps': 20000, 'steps': 700.0, 'training_loss': {'ae_loss': 0.2236328125, 'lm_loss': 2.015625}, 'learning_rate': 0.0001}
2025-04-22 16:22:32 - INFO - {'run_time(hours)': 0.2577724823024538, 'total_steps': 20000, 'steps': 800.0, 'training_loss': {'ae_loss': 0.154296875, 'lm_loss': 2.78125}, 'learning_rate': 0.0001}
2025-04-22 16:24:31 - INFO - {'run_time(hours)': 0.2907923350069258, 'total_steps': 20000, 'steps': 900.0, 'training_loss': {'ae_loss': 0.134765625, 'lm_loss': 2.1875}, 'learning_rate': 0.0001}
2025-04-22 16:26:30 - INFO - {'run_time(hours)': 0.3238277071714401, 'total_steps': 20000, 'steps': 1000.0, 'training_loss': {'ae_loss': 0.061767578125, 'lm_loss': 2.109375}, 'learning_rate': 0.0001}
2025-04-22 16:28:26 - INFO - {'run_time(hours)': 0.35602696908844844, 'total_steps': 20000, 'steps': 1100.0, 'training_loss': {'ae_loss': 0.1923828125, 'lm_loss': 1.75}, 'learning_rate': 0.0001}
2025-04-22 16:30:26 - INFO - {'run_time(hours)': 0.38943919241428376, 'total_steps': 20000, 'steps': 1200.0, 'training_loss': {'ae_loss': 0.09130859375, 'lm_loss': 2.109375}, 'learning_rate': 0.0001}
2025-04-22 16:32:25 - INFO - {'run_time(hours)': 0.4224024255408181, 'total_steps': 20000, 'steps': 1300.0, 'training_loss': {'ae_loss': 0.2177734375, 'lm_loss': 2.359375}, 'learning_rate': 0.0001}
2025-04-22 16:34:23 - INFO - {'run_time(hours)': 0.4553049901458952, 'total_steps': 20000, 'steps': 1400.0, 'training_loss': {'ae_loss': 0.060302734375, 'lm_loss': 2.640625}, 'learning_rate': 0.0001}
2025-04-22 16:36:22 - INFO - {'run_time(hours)': 0.48826194928752054, 'total_steps': 20000, 'steps': 1500.0, 'training_loss': {'ae_loss': 0.109375, 'lm_loss': 2.875}, 'learning_rate': 0.0001}
2025-04-22 16:38:19 - INFO - {'run_time(hours)': 0.5208838558859296, 'total_steps': 20000, 'steps': 1600.0, 'training_loss': {'ae_loss': 0.0654296875, 'lm_loss': 2.453125}, 'learning_rate': 0.0001}
2025-04-22 16:40:18 - INFO - {'run_time(hours)': 0.5539086645841599, 'total_steps': 20000, 'steps': 1700.0, 'training_loss': {'ae_loss': 0.099609375, 'lm_loss': 2.140625}, 'learning_rate': 0.0001}
2025-04-22 16:42:17 - INFO - {'run_time(hours)': 0.5869999820656246, 'total_steps': 20000, 'steps': 1800.0, 'training_loss': {'ae_loss': 0.044921875, 'lm_loss': 2.765625}, 'learning_rate': 0.0001}
2025-04-22 16:44:16 - INFO - {'run_time(hours)': 0.620047110385365, 'total_steps': 20000, 'steps': 1900.0, 'training_loss': {'ae_loss': 0.05126953125, 'lm_loss': 3.125}, 'learning_rate': 0.0001}
2025-04-22 16:46:11 - INFO - {'run_time(hours)': 0.6518396047751108, 'total_steps': 20000, 'steps': 2000.0, 'training_loss': {'ae_loss': 0.036376953125, 'lm_loss': 2.75}, 'learning_rate': 0.0001}
2025-04-22 16:48:06 - INFO - {'run_time(hours)': 0.683933757742246, 'total_steps': 20000, 'steps': 2100.0, 'training_loss': {'ae_loss': 0.2333984375, 'lm_loss': 1.75}, 'learning_rate': 0.0001}
2025-04-22 16:50:00 - INFO - {'run_time(hours)': 0.715382812221845, 'total_steps': 20000, 'steps': 2200.0, 'training_loss': {'ae_loss': 0.1962890625, 'lm_loss': 2.03125}, 'learning_rate': 0.0001}
2025-04-22 16:51:55 - INFO - {'run_time(hours)': 0.7474406511916054, 'total_steps': 20000, 'steps': 2300.0, 'training_loss': {'ae_loss': 0.07373046875, 'lm_loss': 3.140625}, 'learning_rate': 0.0001}
2025-04-22 16:53:53 - INFO - {'run_time(hours)': 0.7801075281037224, 'total_steps': 20000, 'steps': 2400.0, 'training_loss': {'ae_loss': 0.2314453125, 'lm_loss': 0.703125}, 'learning_rate': 0.0001}
2025-04-22 16:55:48 - INFO - {'run_time(hours)': 0.8121217725012038, 'total_steps': 20000, 'steps': 2500.0, 'training_loss': {'ae_loss': 0.047119140625, 'lm_loss': 2.71875}, 'learning_rate': 0.0001}
2025-04-22 16:57:42 - INFO - {'run_time(hours)': 0.8439015260007646, 'total_steps': 20000, 'steps': 2600.0, 'training_loss': {'ae_loss': 0.0576171875, 'lm_loss': 3.171875}, 'learning_rate': 0.0001}
2025-04-22 16:59:43 - INFO - {'run_time(hours)': 0.8775096154212951, 'total_steps': 20000, 'steps': 2700.0, 'training_loss': {'ae_loss': 0.0419921875, 'lm_loss': 2.390625}, 'learning_rate': 0.0001}
2025-04-22 17:01:41 - INFO - {'run_time(hours)': 0.9101668483018875, 'total_steps': 20000, 'steps': 2800.0, 'training_loss': {'ae_loss': 0.051513671875, 'lm_loss': 2.921875}, 'learning_rate': 0.0001}
